ticker,grupo
SOND5,Ação
CEDO3,Ação
DTCY3,Ação
BRSR5,Ação
IGTI4,Ação
PSVM11,Ação
BMIN4,Ação
BGIP3,Ação
RPAD5,Ação
MAPT3,Ação
MAPT4,Ação
EKTR3,Ação
MRSA5B,Ação
HBTS5,Ação
PINE11,Ação
ESTR4,Ação
PATI4,Ação
IBOV,Índice
IEEX,Índice
IBXX,Índice
ITAG,Índice
INDX,Índice
BDRX,Índice
IBXL,Índice
IBLV,Índice
IGCX,Índice
IVBX,Índice
IFNC,Índice
UTIL,Índice
IDIV,Índice
IGCT,Índice
IBRA,Índice
IMAT,Índice
TFIX,Índice
IGNM,Índice
IBEE,Índice
ISEE,Índice
IFIX,Índice
ICON,Índice
MLCX,Índice
ICO2,Índice
SMLL,Índice
IBEW,Índice
IBHB,Índice
IBSD,Índice
IFIL,Índice
AGFS,Índice
IBEP,Índice
IDVR,Índice
GPTW,Índice
IBBC,Índice
IBBR,Índice
IMOB,Índice
IBBE,Índice
FNAM11,ETF/Unit/FII
NVDC34,BDR
NATU3,Ação
ROXO34,BDR
INBR32,Ação
M2ST34,BDR
TOKY3,Ação
TSLA34,BDR
BBAS3F,Ação
AMZO34,BDR
JBSS32,Ação
AAPL34,BDR
FNOR11,ETF/Unit/FII
ETHE11,ETF/Unit/FII
PAGS34,BDR
ITLC34,BDR
HASH11,ETF/Unit/FII
QBTC11,ETF/Unit/FII
QETH11,ETF/Unit/FII
GOGL34,BDR
DEBB11,ETF/Unit/FII
MELI34,BDR
C2OI34,BDR
AURA33,Ação
QSOL11,ETF/Unit/FII
RURA11,ETF/Unit/FII
M1TA34,BDR
MSFT34,BDR
BODB11,ETF/Unit/FII
M1RN34,BDR
BIAU39,BDR
BABA34,BDR
RZAG11,ETF/Unit/FII
BIEU39,BDR
BBSE3F,Ação
SSFO34,BDR
VGIA11,ETF/Unit/FII
CXSE3F,Ação
XPBR31,Ação
PETR4F,Ação
AVGO34,BDR
BITH11,ETF/Unit/FII
SOLH11,ETF/Unit/FII
N1VO34,BDR
VALE3F,Ação
BBDC4F,Ação
A1MD34,BDR
WALM34,BDR
FGAA11,ETF/Unit/FII
S2GM34,BDR
SNAG11,ETF/Unit/FII
XPCA11,ETF/Unit/FII
NEXT34,BDR
CMIG4F,Ação
NFLX34,BDR
AAZQ11,ETF/Unit/FII
LFTS11,ETF/Unit/FII
UNHH34,BDR
ITSA4F,Ação
WEGE3F,Ação
KLBN4F,Ação
U2PS34,BDR
JPMC34,BDR
BOAC34,BDR
LFTB11,ETF/Unit/FII
EMBR3F,Ação
EXXO34,BDR
TSMC34,BDR
GOLL54F,Ação
ISAE4F,Ação
CDII11,ETF/Unit/FII
XRPH11,ETF/Unit/FII
ALLD3F,Ação
ITUB4F,Ação
JURO11,ETF/Unit/FII
COCA34,BDR
IDKA11,ETF/Unit/FII
PYPL34,BDR
GOAU4F,Ação
GGBR4F,Ação
P2LT34,BDR
CMIN3F,Ação
SAPR4F,Ação
BERK34,BDR
ABEV3F,Ação
KNCA11,ETF/Unit/FII
V2TX34,BDR
RIFF11,ETF/Unit/FII
G2DI33,Ação
TAEE11F,Ação
PRIO3F,Ação
OGIN11,ETF/Unit/FII
MGLU3F,Ação
CPTR11,ETF/Unit/FII
STOC34,BDR
POMO4F,Ação
CSNA3F,Ação
IBIT39,BDR
CPLE6F,Ação
B3SA3F,Ação
MSBR34,BDR
XPIE11,ETF/Unit/FII
IFRA11,ETF/Unit/FII
BIYF39,BDR
PACB11,ETF/Unit/FII
GOGL35,Ação
P2IN34,BDR
CSAN3F,Ação
B5P211,ETF/Unit/FII
KLBN11F,Ação
DCRA11,ETF/Unit/FII
LILY34,BDR
BBDC3F,Ação
NIKE34,BDR
AURE3F,Ação
RAIZ4F,Ação
CPTI11,ETF/Unit/FII
AGRX11,ETF/Unit/FII
PSSA3F,Ação
EGIE3F,Ação
DISB34,BDR
QDFI11,ETF/Unit/FII
ASML34,BDR
KEPL3F,Ação
RIGG34,BDR
BRFS3F,Ação
RANI3F,Ação
FCXO34,BDR
PFIN11,ETF/Unit/FII
RECV3F,Ação
BRAP4F,Ação
BMGB4F,Ação
KLBN3F,Ação
BDIF11,ETF/Unit/FII
T2DH34,BDR
ARGT39,BDR
VAMO3F,Ação
FLRY3F,Ação
CHVX34,BDR
CSMG3F,Ação
MRFG3F,Ação
ETHA39,BDR
INTU34,BDR
TAEE4F,Ação
VIVT3F,Ação
ISEN11,ETF/Unit/FII
ADBE34,BDR
S2EA34,BDR
SAPR11F,Ação
BRKM5F,Ação
TASA4F,Ação
PETR3F,Ação
SMTO3F,Ação
ALUP4F,Ação
KDIF11,ETF/Unit/FII
AZUL4F,Ação
USIM5F,Ação
RIOT34,BDR
IFRI11,ETF/Unit/FII
BRAV3F,Ação
UGPA3F,Ação
L1MN34,BDR
SANB11F,Ação
MARG11,ETF/Unit/FII
LEVE3F,Ação
RADL3F,Ação
BIDU34,BDR
B5MB11,ETF/Unit/FII
SBSP3F,Ação
LREN3F,Ação
BPAC11F,Ação
CPFE3F,Ação
CRPT11,ETF/Unit/FII
CASH3F,Ação
AALL34,BDR
GROP31,Ação
JHSF3F,Ação
POSI3F,Ação
BEEF3F,Ação
COGN3F,Ação
ITUB3F,Ação
SYNE3F,Ação
ELET3F,Ação
S2HO34,BDR
CURY3F,Ação
VBBR3F,Ação
ROMI3F,Ação
AZZA3F,Ação
IMAB11,ETF/Unit/FII
ALUP11F,Ação
EQTL3F,Ação
GBTC11,ETF/Unit/FII
FIQE3F,Ação
PMLL11,ETF/Unit/FII
RENT3F,Ação
ABCB4F,Ação
IRBR3F,Ação
SUZB3F,Ação
VIGT11,ETF/Unit/FII
SIMH3F,Ação
DIRR3F,Ação
S2ED34,BDR
E2NP34,BDR
TAEE3F,Ação
IRFM11,ETF/Unit/FII
MSCD34,BDR
MRCK34,BDR
AGRO3F,Ação
ITSA3F,Ação
VISA34,BDR
JALL3F,Ação
BITI11,ETF/Unit/FII
CYRE3F,Ação
SOJA3F,Ação
BSLV39,BDR
OIAG11,ETF/Unit/FII
GRND3F,Ação
B2YN34,BDR
VCRA11,ETF/Unit/FII
ALOS3F,Ação
CATP34,BDR
INTB3F,Ação
XFIX11,ETF/Unit/FII
JMBI11,ETF/Unit/FII
PGCO34,BDR
T1WL34,BDR
SAPR3F,Ação
TOTS3F,Ação
